transaction_id,customer_id,payment_method,amount,promo_id,time_id
1,299,E-Wallet,17028.78,P02,178
2,538,Cash,31994.02,,184
3,310,Credit Card,25761.55,P01,27
4,726,E-Wallet,34358.28,P02,150
5,264,Credit Card,44958.64,,307
6,933,E-Wallet,5591.54,P02,352
7,716,E-Wallet,27172.18,P01,221
8,127,E-Wallet,16464.07,P01,266
9,193,Cash,35160.9,,103
10,237,Credit Card,48993.67,P02,10
11,324,Credit Card,37590.62,P02,246
12,798,E-Wallet,24046.73,,51
13,443,Credit Card,38786.55,P02,255
14,318,Credit Card,30379.29,,272
15,256,Cash,35817.81,P01,251
16,329,E-Wallet,24567.48,,208
17,152,Cash,33337.94,P02,334
18,512,Credit Card,46649.13,,139
19,640,Credit Card,18795.8,P02,350
20,144,E-Wallet,41303.17,P02,336
21,53,Cash,19586.31,P02,92
22,406,Credit Card,33210.11,P02,180
23,261,E-Wallet,5948.02,,307
24,205,Credit Card,38273.22,P01,116
25,729,E-Wallet,20965.55,,364
26,155,E-Wallet,5161.03,,117
27,168,Credit Card,6540.87,,186
28,312,E-Wallet,21602.22,,355
29,961,E-Wallet,23067.24,,360
30,860,Credit Card,23125.25,P02,261
31,671,E-Wallet,8747.57,P01,235
32,199,Cash,10966.41,P02,313
33,604,Credit Card,30664.96,P02,117
34,574,Credit Card,22546.27,P01,150
35,755,Credit Card,6775.12,P02,187
36,246,Credit Card,46092.01,P01,164
37,349,Cash,33831.22,P02,166
38,389,E-Wallet,10068.52,,280
39,87,Cash,14467.34,,219
40,613,Cash,27894.02,P01,22
41,504,Credit Card,47380.38,P01,300
42,391,Credit Card,39507.49,,252
43,539,Cash,9825.65,P02,25
44,349,Credit Card,33161.66,P02,123
45,817,Credit Card,18955.5,P02,9
46,521,Credit Card,21250.77,P02,321
47,289,Cash,39267.05,P01,325
48,56,Credit Card,34296.59,P01,297
49,807,E-Wallet,25532.59,P01,9
50,190,Cash,22948.15,P02,169
51,341,E-Wallet,25026.06,,189
52,890,E-Wallet,15679.85,,29
53,504,Credit Card,13849.76,P01,28
54,54,Credit Card,28506.25,P02,25
55,350,Credit Card,28799.42,P02,169
56,213,Cash,28221.55,P02,325
57,931,E-Wallet,30439.71,,153
58,541,E-Wallet,49830.13,,86
59,601,E-Wallet,11158.29,P02,143
60,700,Credit Card,32919.52,P02,231
61,849,Credit Card,36881.22,,92
62,367,E-Wallet,26464.74,P01,246
63,36,E-Wallet,24300.8,P02,82
64,340,Credit Card,47148.54,P02,66
65,105,Credit Card,39285.4,,289
66,772,E-Wallet,40212.96,P01,256
67,408,Cash,24306.44,,151
68,24,Cash,9519.8,P02,280
69,693,Credit Card,32652.13,P02,35
70,50,Cash,32591.12,,20
71,657,Cash,18322.11,,16
72,254,Credit Card,43118.45,,272
73,931,E-Wallet,48010.85,,319
74,773,E-Wallet,10846.14,,294
75,317,Cash,6230.13,,292
76,966,E-Wallet,27479.28,P01,14
77,132,Cash,11960.45,P02,22
78,502,Cash,49944.45,,331
79,770,E-Wallet,35131.83,P01,310
80,352,Credit Card,18256.85,P01,250
81,712,Cash,43581.14,,146
82,813,Cash,49418.18,P02,266
83,928,Cash,9167.23,P01,124
84,838,Cash,17558.06,P02,306
85,63,E-Wallet,12830.05,P01,204
86,587,E-Wallet,14266.21,P01,213
87,978,Credit Card,44208.73,,19
88,787,Credit Card,41020.05,,124
89,925,Cash,29201.78,P01,291
90,371,Cash,47854.94,,196
91,841,Cash,37532.28,P01,307
92,174,E-Wallet,26574.19,P01,303
93,528,Cash,23181.35,,3
94,162,E-Wallet,37234.65,P02,112
95,217,E-Wallet,32558.58,P02,332
96,314,E-Wallet,6369.0,P01,115
97,165,E-Wallet,14629.96,,149
98,921,Credit Card,25703.29,P02,29
99,433,Credit Card,41793.53,,121
100,768,Cash,32374.93,,28
101,972,Credit Card,30398.17,P01,195
102,313,E-Wallet,34855.08,,281
103,84,Cash,29176.09,,290
104,874,E-Wallet,21835.2,,202
105,723,Credit Card,40513.49,P01,182
106,407,Credit Card,36578.26,P02,237
107,519,Cash,38226.29,P02,133
108,349,Credit Card,37757.24,P02,222
109,219,Cash,20344.48,P02,11
110,701,E-Wallet,44744.98,,81
111,492,Credit Card,28312.49,,154
112,610,Cash,8566.32,P02,12
113,220,Cash,38097.4,,82
114,640,Credit Card,7520.63,,245
115,330,Cash,28174.16,P02,154
116,711,Cash,39270.23,,347
117,69,Cash,26762.47,,213
118,497,Credit Card,23538.61,P02,277
119,331,Credit Card,44578.42,P01,31
120,784,Credit Card,17914.74,P02,181
121,6,Credit Card,47578.24,P02,239
122,611,Cash,47472.66,,222
123,833,Credit Card,10093.39,P01,43
124,91,Cash,29486.54,P01,84
125,840,Cash,27232.66,,304
126,540,E-Wallet,15323.39,P01,314
