trip_id,customer_id,driver_id,vehicle_id,origin_location_id,destination_location_id,time_id,duration_minutes,distance_km
1,57,247,135,43,32,31,19,3.32
2,426,209,226,29,21,132,30,6.57
3,925,61,253,34,42,194,16,4.17
4,876,148,154,33,46,63,21,2.18
5,462,280,76,29,33,158,9,4.07
6,522,95,11,15,7,94,11,5.86
7,290,127,149,7,8,221,26,4.25
8,798,19,30,39,37,318,17,6.05
9,180,47,213,46,39,83,14,8.45
10,30,221,294,7,2,74,28,5.6
11,701,231,225,5,7,337,5,8.53
12,913,299,175,27,28,183,6,6.48
13,95,243,121,26,13,267,6,5.61
14,32,143,204,21,35,109,20,9.65
15,938,121,192,13,16,50,17,9.43
16,32,229,183,10,20,97,20,1.56
17,452,262,234,17,20,54,7,6.95
18,397,146,250,15,24,29,14,6.66
19,201,15,118,47,6,47,26,4.31
20,342,38,151,1,27,20,18,7.33
21,168,34,169,4,31,30,19,3.1
22,922,50,250,43,24,353,25,3.26
23,933,79,13,21,25,338,13,8.17
24,374,205,271,37,42,298,25,3.96
25,986,229,121,40,6,224,16,1.72
26,958,213,101,4,33,97,26,4.25
27,474,222,66,41,40,327,6,2.79
28,690,278,253,17,13,311,29,8.91
29,123,110,30,48,47,77,11,3.4
30,63,245,236,35,1,59,14,9.76
31,108,19,32,36,22,21,30,2.4
32,90,193,12,15,3,261,14,6.22
33,296,44,239,38,35,67,16,8.53
34,88,252,176,21,35,256,26,7.21
35,519,140,250,17,40,360,22,7.57
36,760,179,104,43,31,56,11,8.94
37,11,137,182,30,10,134,8,4.2
38,505,208,48,8,25,165,27,6.05
39,386,175,52,25,17,55,23,2.35
40,871,114,74,48,45,351,30,4.16
41,236,164,74,5,14,72,16,3.19
42,883,147,81,13,10,360,24,7.09
43,690,177,96,38,12,313,8,5.86
44,932,254,216,28,21,285,13,3.87
45,930,188,40,24,23,219,8,7.28
46,178,66,104,13,19,259,10,9.16
47,884,133,36,2,38,29,20,2.14
48,592,34,191,44,39,112,19,2.55
49,652,18,199,15,19,17,13,8.98
50,300,117,82,1,26,343,26,5.49
51,285,200,10,40,7,207,23,8.9
52,949,7,165,6,13,9,24,3.22
53,521,210,11,15,27,226,11,8.4
54,660,209,98,36,47,36,9,5.71
55,421,284,110,30,43,299,5,4.52
56,735,276,266,49,20,117,17,1.48
57,693,185,253,35,7,43,22,7.95
58,676,102,236,41,31,226,11,1.37
59,546,267,102,12,36,67,10,5.83
60,917,94,142,24,20,179,18,1.32
61,742,12,86,48,31,229,7,6.64
62,44,230,281,11,21,282,14,5.71
63,449,236,160,47,2,213,10,6.41
64,945,284,195,46,2,334,18,2.54
65,556,279,91,26,48,294,20,7.31
66,1,238,2,37,14,263,11,9.68
67,336,237,41,19,4,88,5,8.99
68,181,210,32,50,12,248,20,6.4
69,397,263,219,14,19,222,24,4.88
70,706,89,289,39,49,364,16,7.42
71,258,136,102,36,5,71,16,5.48
72,566,107,197,49,16,330,14,9.32
73,993,147,34,8,2,94,24,1.63
74,3,58,103,44,8,78,26,5.5
75,666,259,214,45,29,213,10,4.55
76,295,141,224,1,8,158,6,7.03
77,521,239,150,9,23,112,18,3.77
78,20,191,135,48,46,190,19,6.51
79,180,152,95,11,23,361,16,7.58
80,10,207,135,36,39,129,20,5.98
81,763,121,193,46,28,200,28,4.73
82,563,36,192,48,21,201,11,5.33
83,724,88,22,37,27,282,25,9.55
84,217,65,296,4,12,307,13,6.01
85,871,211,136,32,7,262,18,2.05
86,108,127,241,25,8,283,30,5.12
87,402,174,284,5,1,86,20,1.08
88,870,196,220,29,33,145,12,2.73
89,419,254,159,16,44,183,30,5.11
90,164,136,283,36,2,218,11,4.67
91,240,103,154,11,17,115,30,3.11
92,352,273,194,4,44,8,26,6.82
93,611,167,283,42,39,11,23,2.74
94,517,166,71,18,6,287,10,5.12
95,724,34,61,40,33,345,23,9.79
96,239,102,73,41,23,198,27,6.08
97,442,96,246,12,43,271,29,7.18
98,344,242,152,31,19,46,14,5.92
99,37,8,90,11,40,216,16,7.89
100,621,25,138,1,16,272,26,7.63
101,887,273,241,33,9,155,21,5.21
102,601,175,262,38,11,35,19,6.56
103,410,269,77,31,15,295,21,7.93
104,759,118,206,23,28,157,16,5.91
105,168,269,161,45,15,208,30,7.03
106,102,52,123,41,22,93,9,9.65
107,935,241,29,41,10,132,16,4.93
108,597,107,85,23,38,331,27,7.89
109,100,90,58,44,24,209,14,3.88
110,566,17,206,17,13,141,17,9.63
111,697,101,107,2,30,159,24,1.44
112,602,64,15,36,25,333,15,1.54
113,269,12,100,49,41,26,12,8.03
114,574,31,152,32,10,154,12,8.48
115,362,196,188,5,2,153,20,8.01
116,674,197,130,6,19,38,24,7.24
117,628,17,255,3,16,80,20,4.82
118,778,79,125,18,8,313,21,6.45
119,123,243,86,29,27,124,25,1.1
120,867,6,24,49,50,337,12,4.87
121,426,251,221,22,17,279,11,8.37
122,326,201,170,44,48,253,22,3.85
123,417,230,225,28,38,318,10,4.47
124,254,41,168,9,17,185,13,6.24
125,183,90,107,43,18,272,12,1.03
126,343,188,118,42,32,66,30,6.28
127,947,217,73,8,39,268,8,3.71
128,290,116,80,16,33,147,15,3.37
129,728,173,61,47,23,44,14,3.45
130,75,263,92,10,33,274,17,1.4
131,672,130,53,27,23,300,25,8.94
132,573,154,138,24,39,275,9,7.67
133,637,17,81,26,35,55,6,2.78
134,923,2,93,20,39,314,27,6.18
135,101,164,135,50,36,331,19,3.76
136,954,2,144,45,37,109,19,5.43
137,457,34,248,9,32,239,11,1.36
138,54,34,154,3,39,269,27,6.32
139,173,15,160,40,21,336,8,7.69
140,81,234,252,45,12,108,9,4.78
141,601,55,232,23,31,145,22,9.08
142,436,193,146,48,41,343,28,2.91
143,503,158,299,36,39,171,16,8.51
144,55,236,193,2,50,131,13,9.55
145,505,287,248,12,19,63,24,6.78
